国内排名	学校名称	学校英文名	世界排名
116	佛罗里达国际大学	Florida International University	410
117	拉什大学	Rush University	413
118	德雷塞尔大学	Drexel University	414
119	波士顿学院	Boston College	421
120	乔治梅森大学	George Mason University	429
121	伦斯勒理工学院	Rensselaer Polytechnic Institute	434
122	阿拉巴马大学	University of Alabama	441
123	马萨诸塞大学伍斯特分校	University of Massachusetts Worcester	448
123	德克萨斯大学安东尼奥分校	University of Texas, San Antonio	448
125	佛蒙特大学	University of Vermont	450
126	科罗拉多矿业学院	Colorado School of Mines	453
127	杜兰大学	Tulane University	460
128	德克萨斯大学阿灵顿分校	University of Texas, Arlington	462
129	佐治亚州立大学	Georgia State University	466
129	南卫理公会大学	Southern Methodist University	466
131	威斯康辛医学院	Medical College of Wisconsin	471
132	德州理工大学	Texas Tech University	487
133	威斯康辛大学密尔沃基分校	University of Wisconsin, Milwaukee	497
134	俄克拉荷马州立大学	Oklahoma State University	505
135	中佛罗里达大学	University of Central Florida	509
136	新罕布什尔大学	University of New Hampshire	519
137	圣地亚哥州立大学	San Diego State University	526
138	马萨诸塞大学波士顿分校	University of Massachusetts, Boston	529
139	圣路易斯大学	St. Louis University	569
140	肯特州立大学	Kent State University	581
141	路易维尔大学	University of Louisville	583
142	阿拉斯加大学费尔班克斯分校	University of Alaska, Fairbanks	590
143	威廉玛丽学院	College of William and Mary	594
144	杨百翰大学	Brigham Young University, Provo	601
145	怀俄明大学	University of Wyoming	604
146	密苏里大学堪萨斯城分校	University of Missouri, Kansas City	611
147	犹他州立大学	Utah State University	617
148	克莱蒙森大学	Clemson University	618
149	蒙大拿大学	University of Montana	620
150	马里兰大学巴尔的摩郡分校	University of Maryland, Baltimore County	622
151	北德克萨斯大学	University of North Texas	627
152	欧道明大学	Old Dominion University	630
153	伊利诺伊理工学院	Illinois Institute of Technology	634
154	德克萨斯大学医学分部	University of Texas Medical Branch, Galveston	638
154	西弗吉尼亚大学	West Virginia University	638
156	奥古斯塔大学	Augusta University	645
157	北伊利诺伊大学	Northern Illinois University	649
158	北亚利桑那大学	Northern Arizona University	654
159	芝加哥洛约拉大学	Loyola University Chicago	656
160	里海大学	Lehigh University	661
161	奥本大学	Auburn University	663
162	阿肯色大学	University of Arkansas	668
163	蒙大拿州立大学	Montana State University	673
163	新墨西哥州立大学	New Mexico State University	673
163	丹佛大学	University of Denver	673
166	俄亥俄大学	Ohio University	689
167	阿克伦大学	University of Akron	692
168	加州大学默塞德分校	University of California, Merced	693
169	爱达荷大学	University of Idaho	704
170	内华达大学雷诺分校	University of Nevada, Reno	713
171	密歇根理工大学	Michigan Technological University	714
171	罗德岛大学	University of Rhode Island	714
173	纽约州立大学宾汉姆顿分校	Binghamton University, SUNY	725
174	纽约市立学院	CUNY, City College	726
175	密西西比州立大学	Mississippi State University	734
176	内华达大学拉斯维加斯分校	University of Nevada, Las Vegas	748
177	霍华德大学	Howard University	750
178	密苏里科技大学	Missouri University of Science & Technology	777
179	路易斯安那大学拉法叶分校	University of Louisiana, Lafayette	781
179	北卡罗来纳大学夏洛特分校	University of North Carolina, Charlotte	781
181	罗切斯特理工学院	Rochester Institute of Technology	803
182	迈阿密大学（俄亥俄）	Miami University, Oxford	807
183	克雷顿大学	Creighton University	810
184	新泽西理工学院	New Jersey Institute of Technology	813
185	纽约医学院	New York Medical College	818
185	波特兰州立大学	Portland State University	818
187	托莱多大学	University of Toledo	826
188	旧金山州立大学	San Francisco State University	845
189	孟菲斯大学	University of Memphis	857
190	阿肯色大学医学中心	University of Arkansas Medical Sciences	859
191	南伊利诺伊大学卡本代尔分校	Southern Illinois University, Carbondale	873
192	纽约市立大学亨特学院	CUNY, Hunter College	880
192	密苏里大学圣路易斯分校	University of Missouri, St. Louis	880
194	北达科他州立大学	North Dakota State University	896
195	德克萨斯大学埃尔帕索分校	University of Texas El Paso	907
196	佛罗里达大西洋大学	Florida Atlantic University	910
197	美利坚大学	American University	927
198	北卡罗来纳大学格林波若分校	University of North Carolina, Greensboro	931
199	统一健康科学大学	Uniformed Services University of the Health Sciences	943
199	俄克拉何马大学健康科学中心	University of Oklahoma Health Sciences Center	943
201	北达科他大学	University of North Dakota	950
202	维拉诺瓦大学	Villanova University	956
203	罗马琳达大学	Loma Linda University	964
204	马萨诸塞大学洛厄尔分校	University of Massachusetts, Lowell	1003
205	东卡罗来纳大学	East Carolina University	1010
205	福坦莫大学	Fordham University	1010
207	奥克兰大学（美国）	Oakland University	1014
208	美国天主大学	The Catholic University of America	1025
209	霍夫斯特拉大学	Hofstra University	1049
210	西密歇根大学	Western Michigan University	1059
211	马凯特大学	Marquette University	1065
212	博林格林州立大学	Bowling Green State University	1070
213	南达科他州立大学	South Dakota State University	1086
214	伊利诺伊州立大学	Illinois State University	1102
215	怀特州立大学	Wright State University Dayton	1109
216	德州农工大学健康科学中心	Texas A&M Health Science Center	1142
217	南密西西比大学	University of Southern Mississippi	1155
218	波多黎各大学医学部	University of Puerto Rico, Medical Sciences Campus	1185
219	德保罗大学	DePaul University	1188
220	路易斯安那州立大学健康科学中心	Louisiana State University Health Sciences Center New Orleans	1227
221	德克萨斯州立大学	Texas State University San Marcos	1233
-	阿尔巴尼医学院	Albany Medical College	-
-	加州州立大学弗雷斯诺分校	California State University, Fresno	-
-	克拉克森大学	Clarkson University	-
-	费尔菲尔德大学	Fairfield University	-
-	佛罗里达理工学院	Florida Institute of Technology	-
-	印第安纳大学凯利商学院	IU Kelley School of Business	-
-	路易斯安那理工大学	Louisiana Tech University	-
-	诺瓦东南大学	Nova Southeastern University	-
-	纽约州立环境科学与森林学院	SUNY College of Environmental Science	-
-	阿拉巴马大学亨茨维尔分校	University of Alabama, Huntsville	-
-	波多黎各大学马亚圭斯分校	University of Puerto Rico, Mayaguez	-
-	犹他谷大学	Utah Valley University	-
-	弗吉尼亚海洋科学学院	Virginia Institute of Marine Science	-
-	伍斯特理工学院	Worcester Polytechnic Institute	-
