亚洲排名	学校名称	学校英文名	国家/地区	世界排名
120	北京科技大学	University of Science & Technology Beijing	 中国	663
123	伊斯坦布尔大学	Istanbul University	 土耳其	668
124	印度理工学院马德拉斯分校	Indian Institute of Technology Madras	 印度	672
125	南京农业大学	Nanjing Agricultural University	 中国	673
126	贝鲁特美国大学	American University of Beirut	 黎巴嫩	680
127	马来西亚国民大学	National University of Malaysia	 马来西亚	696
128	印度理工学院克勒格布尔分校	Indian Institute of Technology Kharagpur	 印度	698
128	信州大学	Shinshu University	 日本	698
128	海法大学	University of Haifa	 以色列	698
131	爱琴海大学（土耳其）	Ege University	 土耳其	701
132	阿里格尔穆斯林大学	Aligarh Muslim University	 印度	704
132	北京化工大学	Beijing University of Chemical Technology	 中国	704
132	印度理工学院坎普尔分校	Indian Institute of Technology Kanpur	 印度	704
132	国立台湾科技大学	National Taiwan University of Science and Technology	 台湾	704
136	印度理工学院鲁尔基分校	Indian Institute of Technology (IIT) - Roorkee	 印度	710
136	科奇大学	Koc University - Turkey	 土耳其	710
138	德里大学	University of Delhi	 印度	719
139	中国海洋大学	Ocean University of China	 中国	721
140	西南大学（中国）	Southwest University - China	 中国	724
141	国立中山大学	National Sun Yat-Sen University	 台湾	726
142	东北大学（中国）	Northeastern University - China	 中国	731
143	首都医科大学	Capital Medical University	 中国	735
143	福州大学	Fuzhou University	 中国	735
143	华中农业大学	Huazhong Agricultural University	 中国	735
146	切库罗瓦大学	Cukurova University	 土耳其	742
146	立命馆大学	Ritsumeikan University	 日本	742
146	澳门大学	University of Macau	 澳门	742
149	南京航空航天大学	Nanjing University of Aeronautics and Astronautics	 中国	748
150	中国医药大学	China Medical University Taiwan	 台湾	750
150	西北大学（中国）	Northwest University,  Xi'an	 中国	750
152	西北工业大学	Northwestern Polytechnical University	 中国	753
153	国立阳明大学	National Yang-Ming University	 台湾	756
153	德黑兰医科大学	Tehran University of Medical Sciences	 伊朗	756
155	阿迦汗大学	Aga Khan University	 巴基斯坦	765
155	耶尔德兹理工大学	Yildiz Teknik University	 土耳其	765
157	贝拿勒斯印度教大学	Banaras Hindu University	 印度	768
158	梅尔辛大学	Mersin University	 土耳其	771
159	世宗大学	Sejong University	 韩国	773
160	江南大学	Jiangnan University	 中国	777
161	长庚大学	Chang Gung University	 台湾	785
161	韩国岭南大学	Yeungnam University	 韩国	785
163	全印医学科学学院	All India Institute of Medical Sciences	 印度	790
163	合肥工业大学	Hefei University of Technology	 中国	790
165	咖兹大学	Gazi University	 土耳其	795
165	伊朗科技大学	Iran University Science & Technology	 伊朗	795
165	南京理工大学	Nanjing University of Science & Technology	 中国	795
168	庆尚国立大学	Gyeongsang National University	 韩国	799
169	东京理科大学	Tokyo University of Science	 日本	800
169	卡塔尔大学	University of Qatar	 卡塔尔	800
171	西北农林科技大学	Northwest A&F University - China	 中国	803
172	塔比特默德尔斯大学	Tarbiat Modares University	 伊朗	806
173	中国石油大学	China University of Petroleum	 中国	807
174	建国大学	Konkuk University	 韩国	812
175	仁荷大学	Inha University	 韩国	813
176	第四军医大学	Fourth Military Medical University	 中国	818
176	南京师范大学	Nanjing Normal University	 中国	818
176	大阪市立大学	Osaka City University	 日本	818
179	新潟大学	Niigata University	 日本	829
180	清迈大学	Chiang Mai University	 泰国	838
181	贾达普大学	Jadavpur University	 印度	840
182	国防科技大学	National University of Defence Technology - China	 中国	842
183	华北电力大学	North China Electric Power University	 中国	844
184	江原国立大学	Kangwon National University	 韩国	845
184	郑州大学	Zhengzhou University	 中国	845
186	北京邮电大学	Beijing University of Posts	 中国	849
186	金泽大学	Kanazawa University	 日本	849
188	熊本大学	Kumamoto University	 日本	855
188	南京医科大学	Nanjing Medical University	 中国	855
190	综合研究大学院大学	Graduate University for Advanced Studies - Japan	 日本	857
191	韩国中央大学	Chung Ang University	 韩国	864
191	哈尔滨工程大学	Harbin Engineering University	 中国	864
191	深圳大学	Shenzhen University	 中国	864
194	马什哈德菲尔多西大学	Ferdowsi University Mashhad	 伊朗	868
194	阿联酋大学	United Arab Emirates University	 阿联酋	868
196	武汉理工大学	Wuhan University of Technology	 中国	873
197	加济安泰普大学	Gaziantep University	 土耳其	876
198	加齐奥斯曼帕夏大学	Gaziosmanpasa University	 土耳其	880
198	大不里士大学	University of Tabriz	 伊朗	880
200	河海大学	Hohai University	 中国	885
201	韩国天主大学	Catholic University of Korea	 韩国	887
201	国立中兴大学	National Chung Hsing University	 台湾	887
203	北京林业大学	Beijing Forestry University	 中国	889
203	国立台湾师范大学	National Taiwan Normal University	 台湾	889
205	北京工业大学	Beijing University of Technology	 中国	891
205	西安电子科技大学	Xidian University	 中国	891
207	亚洲大学	Ajou University	 韩国	896
207	台北医学大学	Taipei Medical University	 台湾	896
209	长崎大学	Nagasaki University	 日本	901
210	忠南国立大学	Chungnam National University	 韩国	903
211	伊斯兰堡国立科技大学	National University of Sciences & Technology - Pakistan	 巴基斯坦	905
212	马尔马拉大学	Marmara University	 土耳其	912
212	苏丹卡布斯大学	Sultan Qaboos University	 阿曼	912
214	东海大学（日本）	Tokai University	 日本	914
215	东北师范大学	Northeast Normal University - China	 中国	917
216	中国矿业大学	China University of Mining	 中国	919
216	上海师范大学	Shanghai Normal University	 中国	919
218	泰国农业大学	Kasetsart University	 泰国	922
218	海得拉巴大学	University of Hyderabad	 印度	922
220	东京农业大学	Tokyo University of Agriculture	 日本	925
221	南京工业大学	Nanjing University of Technology	 中国	927
222	江苏大学	Jiangsu University	 中国	934
222	西南交通大学	Southwest Jiaotong University	 中国	934
224	暨南大学	Jinan University	 中国	936
225	印度理工学院古瓦哈提分校	Indian Institute of Technology (IIT) - Guwahati	 印度	938
225	鹿儿岛大学	Kagoshima University	 日本	938
225	西江大学	Sogang University	 韩国	938
228	忠北国立大学	Chungbuk National University	 韩国	941
229	约旦科技大学	Jordan University of Science & Technology	 约旦	943
229	第三军医大学	Third Military Medical University	 中国	943
231	华南师范大学	South China Normal University	 中国	948
232	奈良先端科学技术大学院大学	Nara Institute of Science	 日本	950
232	帝京大学	Teikyo University	 日本	950
234	高雄医学大学	Kaohsiung Medical University	 台湾	956
235	宋卡王子大学	Prince Songkla University	 泰国	961
236	德米雷尔大学	Suleyman Demirel University	 土耳其	964
237	尼赫鲁大学	Jawaharlal Nehru University	 印度	966
237	科威特大学	Kuwait University	 科威特	966
